State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0409""",Yes under Provision 2,Vector School District Inc. (90317),"=""0400792""",215,Elementary,–,106,109,55,3,88,32,31,"=""0""",6,†,–,"=""040079202970""",90317,Vector Prep and Arts Academy,"Vector School District, Inc.",19,English Language Arts
Arizona,Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0409""",Yes under Provision 2,Vector School District Inc. (90317),"=""0400792""",215,Elementary,–,106,109,55,3,88,32,31,"=""0""",6,†,–,"=""040079202970""",90317,Vector Prep and Arts Academy,"Vector School District, Inc.",21,Mathematics
Arizona,Pima County,"=""04019""",2-No,2-Title I targeted assistance school,"=""0402""",Yes participating without using any Provision or the CEO,Catalina Foothills Unified District (4410),"=""0401760""",526,Elementary,72,251,275,"=""0""",20,184,7,282,3,30,16.75,31.40,"=""040176001002""",4410,Ventana Vista Elementary School,Catalina Foothills Unified District,74,English Language Arts
Arizona,Pima County,"=""04019""",2-No,2-Title I targeted assistance school,"=""0402""",Yes participating without using any Provision or the CEO,Catalina Foothills Unified District (4410),"=""0401760""",526,Elementary,72,251,275,"=""0""",20,184,7,282,3,30,16.75,31.40,"=""040176001002""",4410,Ventana Vista Elementary School,Catalina Foothills Unified District,62,Mathematics
Arizona,Apache County,"=""04001""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),Vernon Elementary District (4162),"=""0400022""",107,Elementary,75,55,52,5,1,11,1,87,"=""0""",2,9.73,11.00,"=""040002201354""",4162,Vernon Elementary School,Vernon Elementary District,43,English Language Arts
Arizona,Apache County,"=""04001""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),Vernon Elementary District (4162),"=""0400022""",107,Elementary,75,55,52,5,1,11,1,87,"=""0""",2,9.73,11.00,"=""040002201354""",4162,Vernon Elementary School,Vernon Elementary District,30,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",698,Elementary,103,362,336,2,15,184,18,439,"=""0""",40,21.81,32.00,"=""040438002782""",4281,Verrado Elementary School,Litchfield Elementary District,69,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",698,Elementary,103,362,336,2,15,184,18,439,"=""0""",40,21.81,32.00,"=""040438002782""",4281,Verrado Elementary School,Litchfield Elementary District,71,Mathematics
ARIZONA,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",1062,Elementary,244,540,522,7,5,395,37,569,1,48,25.29,42.00,"=""040438003478""",4281,Verrado Heritage Elementary School,Litchfield Elementary District,64,English Language Arts
ARIZONA,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",1062,Elementary,244,540,522,7,5,395,37,569,1,48,25.29,42.00,"=""040438003478""",4281,Verrado Heritage Elementary School,Litchfield Elementary District,63,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Agua Fria Union High School District (4289),"=""0400450""",1902,High,437,980,922,7,52,728,122,911,8,74,21.42,88.80,"=""040045002592""",4289,Verrado High School,Agua Fria Union High School District,42,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Agua Fria Union High School District (4289),"=""0400450""",1902,High,437,980,922,7,52,728,122,911,8,74,21.42,88.80,"=""040045002592""",4289,Verrado High School,Agua Fria Union High School District,44,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",820,Middle,155,427,393,4,13,277,46,447,2,31,22.47,36.50,"=""040438002431""",4281,Verrado Middle School,Litchfield Elementary District,54,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,Litchfield Elementary District (4281),"=""0404380""",820,Middle,155,427,393,4,13,277,46,447,2,31,22.47,36.50,"=""040438002431""",4281,Verrado Middle School,Litchfield Elementary District,61,Mathematics
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",687,Elementary,486,352,335,46,5,532,12,71,2,19,20.19,34.02,"=""040880000899""",4403,Vesey Elementary School,Tucson Unified District,39,English Language Arts
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",687,Elementary,486,352,335,46,5,532,12,71,2,19,20.19,34.02,"=""040880000899""",4403,Vesey Elementary School,Tucson Unified District,40,Mathematics
ARIZONA,Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes under Community Eligibility Option (CEO),Victory Collegiate Academy Corporation (92985),"=""0400968""",304,Elementary,285,153,151,1,"=""0""",240,37,19,"=""0""",7,†,–,"=""040096803562""",92985,Victory Collegiate Academy,Victory Collegiate Academy Corporation,21,English Language Arts
ARIZONA,Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes under Community Eligibility Option (CEO),Victory Collegiate Academy Corporation (92985),"=""0400968""",304,Elementary,285,153,151,1,"=""0""",240,37,19,"=""0""",7,†,–,"=""040096803562""",92985,Victory Collegiate Academy,Victory Collegiate Academy Corporation,25,Mathematics
